Age,Gender,Education,Income Level,Emp Experience,Home Ownership,Loan Amount,Loan Intent,Interest Rate,Credit Score
26,male,Master,272000,5,Mortgage,20000,Home Renovate,11.49,670
25,female,Bachelor,271000,3,Mortgage,30000,Home Renovate,19.91,637
26,male,Associate,257000,2,Mortgage,35000,Education,10.65,643
24,male,High School,271000,0,Rent,6000,Medical,11.01,508
24,male,High School,16000,2,Mortgage,4500,Debt Settlement,11.83,643
23,male,High School,17000,0,Own,2400,Debt Settlement,13.49,505
22,male,Bachelor,52000,0,Rent,25000,Medical,14.59,593
26,female,Master,59000,6,Rent,25000,Education,9.64,686
25,female,Associate,16000,4,Own,3600,Medical,14.59,646
22,female,Bachelor,17000,0,Own,4750,Education,11.01,645
25,female,Associate,52000,3,Rent,25000,Education,16.35,697
21,male,High School,60000,0,Rent,25000,Education,10.99,648
25,male,Master,271000,1,Mortgage,25000,Venture,18.67,640
26,male,Bachelor,271000,5,Rent,3000,Education,9.32,681
23,female,Associate,271000,0,Rent,7500,Debt Settlement,8.63,646
26,male,Bachelor,271000,4,Mortgage,25000,Venture,10.08,615
22,male,Associate,61000,0,Rent,25000,Personal,11.83,687
23,male,High School,61000,1,Rent,25000,Debt Settlement,7.9,650
25,male,Bachelor,61000,0,Rent,25000,Home Renovate,5.99,588
24,male,Bachelor,54000,2,Rent,25000,Debt Settlement,15.33,652
23,male,High School,61000,0,Rent,25000,Venture,11.83,658
22,male,High School,61000,0,Rent,25000,Venture,10.36,634
22,female,High School,61000,0,Rent,25000,Venture,12.23,623
22,female,Associate,63000,0,Rent,25000,Education,11.11,635
23,female,Bachelor,17000,0,Own,4950,Debt Settlement,7.9,531
24,female,Master,265000,4,Mortgage,25000,Education,11.58,665
23,male,Associate,260000,2,Mortgage,21000,Debt Settlement,8.9,703
25,female,Associate,260000,5,Mortgage,25000,Education,16.07,585
26,female,Bachelor,260000,4,Mortgage,20000,Education,14.22,594
23,male,Bachelor,259000,0,Mortgage,35000,Medical,14.79,618
26,male,High School,259000,2,Mortgage,12000,Education,7.88,626
23,male,High School,63000,0,Rent,25000,Personal,13.22,695
26,female,Doctorate,56000,2,Rent,25000,Debt Settlement,11.86,690
22,male,Bachelor,65000,0,Rent,25000,Education,13.43,574
26,female,High School,58000,0,Rent,25000,Home Renovate,15.28,602
23,male,Associate,57000,0,Rent,25000,Venture,17.93,679
23,female,High School,17000,2,Mortgage,1400,Education,9.25,615
21,male,Master,17000,0,Own,4500,Venture,12.98,601
22,male,Associate,253000,0,Mortgage,16000,Venture,10.62,577
26,female,Associate,253000,3,Own,22000,Personal,11.83,588
26,male,Bachelor,59000,8,Rent,25000,Venture,18.43,595
22,male,High School,67000,2,Rent,25000,Education,11.01,653
24,female,Master,67000,3,Rent,25000,Home Renovate,11.01,663
23,male,Bachelor,67000,0,Rent,25000,Education,11.36,653
23,male,Associate,67000,2,Rent,25000,Education,15.65,598
24,female,High School,67000,1,Rent,25000,Personal,13.22,630
26,male,Associate,68000,2,Rent,25000,Debt Settlement,12.87,637
24,male,Associate,246000,1,Own,20000,Medical,13.04,660
23,male,Associate,229000,0,Mortgage,22000,Education,17.58,639
23,male,High School,18000,0,Own,7750,Personal,17.04,626
24,female,Associate,73000,3,Rent,25000,Personal,10.99,612
24,male,Bachelor,73000,1,Rent,25000,Personal,11.11,628
26,female,Master,66000,2,Rent,25000,Debt Settlement,14.83,592
23,male,High School,18000,1,Own,4000,Debt Settlement,11.01,580
24,male,Bachelor,241000,3,Rent,12000,Medical,12.69,634
24,male,Associate,241000,3,Mortgage,12000,Home Renovate,13.49,678
21,male,High School,241000,0,Mortgage,16000,Education,14.65,557
25,male,Bachelor,66000,3,Rent,25000,Home Renovate,16.82,672
23,male,Bachelor,73000,0,Rent,25000,Personal,12.73,613
23,male,High School,73000,3,Rent,25000,Personal,10.25,566
21,male,Associate,73000,0,Rent,25000,Education,10.99,718
25,male,High School,76000,4,Rent,25000,Medical,12.73,484
22,female,High School,69000,0,Rent,25000,Home Renovate,14.96,634
23,female,Bachelor,241000,2,Mortgage,28000,Education,11.01,653
21,male,Bachelor,241000,0,Mortgage,25000,Debt Settlement,13.99,699
24,male,High School,241000,0,Mortgage,24000,Venture,7.49,656
26,male,High School,241000,3,Mortgage,15000,Education,14.79,626
25,male,High School,241000,2,Mortgage,15500,Debt Settlement,11.99,659
24,female,High School,241000,4,Rent,10000,Education,8.49,604
24,male,Associate,80000,1,Rent,25000,Education,9.91,636
22,male,Master,80000,0,Rent,25000,Education,13.06,554
22,male,High School,241000,0,Mortgage,9000,Debt Settlement,6.17,587
144,male,Associate,241000,121,Mortgage,6000,Education,11.86,807
25,male,Bachelor,241000,4,Rent,18000,Education,16.32,708
25,female,Master,241000,2,Mortgage,12000,Venture,10.38,669
25,male,Associate,241000,2,Mortgage,23050,Personal,14.35,578
24,male,Bachelor,241000,5,Mortgage,20000,Debt Settlement,11.01,615
24,female,Master,73000,1,Rent,25000,Debt Settlement,11.01,553
21,male,Master,18000,0,Own,3000,Home Renovate,11.01,635
26,female,Associate,81000,3,Rent,25000,Personal,15.21,531
23,male,High School,81000,1,Rent,25000,Education,7.9,621
24,male,Bachelor,82000,1,Rent,25000,Venture,10.99,674
24,female,Associate,83000,0,Rent,25000,Personal,14.09,688
25,female,High School,84000,3,Rent,25000,Personal,17.49,597
25,male,Associate,241000,1,Mortgage,12000,Education,11.48,640
26,female,Associate,227000,0,Mortgage,20000,Venture,17.74,621
26,female,Bachelor,241000,5,Mortgage,3000,Personal,13.92,608
25,male,Bachelor,85000,3,Rent,25000,Education,15.21,653
22,female,Bachelor,18000,0,Own,4000,Medical,10.99,585
24,female,High School,85000,3,Rent,25000,Education,11.86,569
24,male,Bachelor,18000,2,Own,6000,Personal,7.49,587
24,male,Bachelor,68000,1,Rent,25000,Medical,16.49,631
25,female,High School,80000,4,Rent,25000,Venture,15.33,592
26,female,High School,80000,6,Rent,25000,Home Renovate,11.58,679
25,male,High School,18000,1,Own,5375,Education,5.79,645
25,male,Associate,88000,0,Rent,25000,Medical,13.11,669
23,female,Bachelor,90000,0,Rent,25000,Medical,10.36,653
25,male,Bachelor,91000,1,Rent,25000,Debt Settlement,10.36,577
24,male,High School,231000,0,Rent,22000,Medical,11.01,668
21,male,Bachelor,232000,0,Mortgage,20000,Venture,6.54,629
25,female,Associate,231000,4,Mortgage,10000,Medical,12.53,643
26,male,Bachelor,230000,0,Mortgage,15000,Personal,11.01,626
22,male,Bachelor,229000,0,Mortgage,10000,Venture,11.01,560
24,male,Bachelor,91000,0,Rent,25000,Education,10.25,648
22,male,Associate,86000,0,Rent,25000,Education,15.95,648
26,male,Associate,229000,3,Mortgage,20000,Venture,12.18,669
23,male,High School,229000,2,Own,24000,Personal,11.83,536
23,male,High School,95000,1,Rent,25000,Debt Settlement,11.01,548
23,female,Master,95000,0,Rent,25000,Venture,10.62,667
23,male,High School,95000,0,Rent,25000,Venture,10.74,676
25,male,Associate,224000,1,Own,10000,Venture,10.25,570
24,male,High School,223000,0,Mortgage,35000,Education,12.42,623
25,female,Bachelor,223000,2,Rent,15000,Venture,15.27,652
24,female,High School,75000,1,Rent,25000,Medical,15.33,625
23,female,High School,96000,1,Rent,25000,Venture,15.21,642
21,male,Bachelor,18000,0,Own,6250,Venture,14.72,580
24,male,Associate,97000,2,Rent,25000,Personal,15.7,622
24,male,Bachelor,96000,3,Rent,25000,Education,13.35,581
21,female,High School,18000,1,Mortgage,1500,Medical,11.01,623
24,male,Master,97000,1,Rent,25000,Education,6.62,583
26,male,Bachelor,97000,4,Rent,25000,Debt Settlement,13.61,645
22,female,Associate,223000,2,Rent,25000,Medical,11.36,593
26,male,Associate,223000,3,Own,5000,Personal,7.68,659
24,female,Bachelor,223000,0,Rent,22000,Home Renovate,14.46,655
23,male,Associate,222000,2,Own,2500,Education,11.83,583
24,female,Associate,208000,0,Mortgage,20000,Debt Settlement,13.47,582
24,female,Bachelor,221000,1,Mortgage,20000,Medical,11.49,504
22,male,High School,221000,0,Mortgage,1000,Education,11.01,551
25,female,Associate,221000,1,Mortgage,15000,Personal,6.03,529
23,female,Bachelor,90000,0,Rent,25000,Debt Settlement,16.35,674
26,female,High School,90000,4,Rent,25000,Debt Settlement,11.01,595
25,female,High School,99000,6,Rent,25000,Debt Settlement,7.29,597
23,male,High School,99000,5,Rent,25000,Medical,11.36,566
24,male,High School,99000,3,Rent,25000,Venture,10.25,666
24,female,Bachelor,101000,1,Rent,25000,Education,11.12,695
24,female,Bachelor,100000,2,Rent,25000,Personal,12.92,576
24,male,High School,217000,5,Rent,18000,Education,18.64,651
23,female,Bachelor,217000,0,Mortgage,28000,Personal,7.51,633
23,male,Master,19000,1,Own,4000,Home Renovate,16.7,566
22,male,Master,18000,0,Own,2100,Personal,11.14,583
22,female,Associate,102000,0,Rent,25000,Personal,18.3,586
24,female,Associate,103000,4,Rent,25000,Medical,10.62,592
24,male,Bachelor,217000,2,Mortgage,14000,Venture,11.99,598
26,male,Master,217000,1,Mortgage,12000,Venture,9.63,637
25,female,High School,172000,5,Mortgage,10000,Medical,18.25,628
23,male,Master,19000,0,Mortgage,6000,Debt Settlement,11.01,667
24,male,Associate,105000,5,Rent,25000,Home Renovate,14.84,621
24,male,Bachelor,91000,1,Rent,25000,Venture,14.7,668
23,female,High School,92000,1,Rent,25000,Debt Settlement,16.02,544
23,male,Associate,80000,2,Rent,25000,Medical,15.37,699
25,female,Bachelor,109000,2,Rent,25000,Medical,10.99,611
21,male,Associate,19000,0,Own,6200,Home Renovate,7.9,615
26,female,High School,217000,5,Own,25000,Personal,10.99,559
24,female,High School,217000,0,Own,21000,Education,11.48,577
25,male,High School,217000,1,Own,20000,Medical,14.26,657
26,male,Associate,217000,5,Own,10000,Home Renovate,8,676
25,male,Bachelor,216000,0,Mortgage,9950,Venture,11.26,601
23,female,Master,19000,2,Own,4475,Medical,11.01,647
23,female,Master,94000,0,Rent,25000,Venture,16.32,576
25,male,Master,81000,3,Rent,25000,Medical,17.93,612
23,male,Bachelor,109000,0,Rent,25000,Debt Settlement,11.36,678
24,female,Associate,96000,1,Rent,25000,Debt Settlement,14.96,542
24,female,Associate,111000,1,Rent,25000,Personal,13.43,709
25,male,Associate,111000,2,Rent,25000,Home Renovate,12.69,622
24,male,Associate,112000,4,Rent,25000,Venture,12.73,642
23,female,High School,113000,0,Rent,25000,Venture,15.21,660
23,female,Bachelor,19000,1,Mortgage,1750,Medical,12.68,587
23,female,High School,86000,0,Rent,25000,Medical,19.04,646
25,female,Master,102000,7,Rent,25000,Debt Settlement,15.95,637
26,male,Bachelor,211000,5,Mortgage,2600,Venture,8.9,718
25,male,Master,211000,4,Mortgage,8000,Home Renovate,7.9,588
22,male,Associate,211000,0,Mortgage,18000,Education,11.01,652
23,male,Bachelor,211000,0,Mortgage,21000,Personal,11.99,620
23,male,High School,19000,2,Own,4000,Debt Settlement,13.98,667
23,female,Associate,19000,0,Own,4600,Venture,10.99,688
22,male,Associate,107000,0,Rent,25000,Debt Settlement,15.58,667
25,male,Master,91000,4,Rent,25000,Medical,10.99,692
25,male,Bachelor,107000,1,Rent,25000,Venture,14.96,562
25,male,High School,19000,4,Own,1750,Home Renovate,15.31,625
26,male,High School,106000,5,Rent,25000,Venture,15.65,649
25,female,High School,121000,3,Rent,25000,Venture,9.33,545
23,male,High School,19000,3,Mortgage,3600,Personal,13.47,540
24,female,Associate,124000,0,Rent,25000,Personal,10.36,637
24,male,Associate,112000,4,Rent,25000,Home Renovate,16.77,600
23,male,High School,113000,1,Rent,25000,Debt Settlement,14.59,633
22,male,High School,211000,0,Rent,3500,Venture,11.91,588
23,female,Associate,211000,2,Mortgage,7200,Education,8.38,624
25,male,High School,211000,7,Rent,9000,Venture,10.59,525
25,male,High School,210000,3,Mortgage,8800,Debt Settlement,14.27,616
26,female,Master,210000,3,Rent,12000,Debt Settlement,12.53,675
25,female,Associate,195000,1,Mortgage,25000,Debt Settlement,16,662
26,male,Master,209000,2,Mortgage,10000,Venture,11.71,585
21,male,Master,19000,0,Own,3175,Home Renovate,11.54,686
25,female,Bachelor,116000,2,Rent,25000,Home Renovate,15.68,595
21,female,Associate,19000,2,Mortgage,1500,Education,10.59,537
24,female,High School,118000,0,Rent,25000,Home Renovate,12.61,625
26,female,High School,133000,0,Rent,25000,Personal,11.01,641
23,female,Associate,19000,4,Mortgage,2800,Personal,8.49,661
25,male,High School,192000,1,Rent,30000,Personal,17.27,577
24,male,Bachelor,207000,4,Rent,18000,Debt Settlement,8.9,537
25,female,High School,205000,6,Mortgage,10000,Medical,11.11,646
24,male,High School,191000,1,Rent,25000,Home Renovate,14.59,653
26,female,Associate,205000,3,Rent,13000,Venture,12.42,654
24,male,Associate,101000,0,Rent,25000,Medical,11.01,635
24,female,Master,133000,3,Rent,25000,Home Renovate,15.7,675
22,female,Master,19000,0,Own,2500,Home Renovate,12.53,618
25,female,Master,162000,0,Rent,5000,Medical,16.49,609
25,female,Bachelor,205000,0,Mortgage,20000,Education,7.49,545
22,female,High School,122000,2,Rent,25000,Debt Settlement,14.96,629
25,male,Associate,136000,6,Rent,25000,Medical,12.73,539
24,male,Master,145000,4,Rent,25000,Education,10.65,593
25,female,High School,145000,3,Rent,25000,Medical,10.74,683
23,male,Bachelor,145000,1,Rent,25000,Education,9.99,670
24,male,Master,111000,0,Rent,25000,Medical,15.33,662
21,female,High School,19000,2,Own,1000,Venture,7.29,681
26,male,High School,130000,1,Rent,25000,Personal,15.05,636
26,male,Master,157000,0,Rent,25000,Personal,10.75,677
23,female,Bachelor,157000,3,Rent,25000,Education,16.02,656
23,female,Associate,157000,0,Rent,25000,Venture,11.49,674
25,female,Associate,205000,6,Own,20000,Education,12.53,587
26,female,Bachelor,205000,2,Mortgage,12000,Venture,13.57,658
22,male,High School,204000,4,Rent,14000,Personal,11.14,581
26,male,High School,203000,3,Rent,24250,Medical,12.87,606
23,female,Associate,203000,0,Rent,20000,Education,11.58,648
24,female,Associate,203000,3,Rent,1800,Home Renovate,11.12,563
25,female,Master,203000,1,Mortgage,35000,Personal,10.65,589
24,male,Associate,161000,1,Rent,25000,Debt Settlement,10.37,641
24,male,Associate,20000,3,Own,3300,Home Renovate,6.39,637
24,male,High School,162000,2,Rent,25000,Personal,16.07,578
25,female,Bachelor,162000,0,Rent,25000,Medical,10.62,660
25,male,High School,19000,3,Own,3200,Venture,18.09,586
25,male,Associate,163000,5,Rent,25000,Education,11.36,567
26,female,Bachelor,164000,5,Rent,25000,Debt Settlement,12.53,582
25,female,Bachelor,175000,3,Rent,25000,Education,9.99,712
23,male,High School,181000,4,Rent,25000,Education,10.36,674
23,female,Master,199000,0,Mortgage,9600,Education,5.99,532
22,female,Master,185000,1,Mortgage,24000,Debt Settlement,15.62,670
24,male,Master,199000,6,Mortgage,20000,Personal,10.37,658
25,male,Associate,199000,0,Mortgage,25000,Home Renovate,19.74,669
21,male,Bachelor,199000,0,Mortgage,20000,Education,6.91,681
23,male,Associate,20000,3,Own,6000,Medical,7.9,618
23,female,Bachelor,20000,4,Mortgage,2275,Debt Settlement,13.06,573
23,female,High School,20000,0,Own,2000,Personal,6.39,491
23,male,Master,179000,2,Rent,25000,Debt Settlement,14.93,590
23,female,High School,20000,0,Mortgage,5600,Medical,12.84,587
24,male,Master,20000,2,Own,3625,Venture,17.14,648
22,male,Master,20000,0,Mortgage,5500,Venture,7.14,687
25,male,Bachelor,211000,0,Rent,25000,Personal,8.9,621
22,female,High School,20000,0,Own,2000,Personal,12.42,590
24,male,Associate,223000,0,Rent,25000,Home Renovate,12.68,676
25,female,Associate,196000,0,Rent,25000,Personal,11.03,677
26,male,Bachelor,194000,6,Rent,30000,Venture,7.9,651
22,male,High School,193000,0,Mortgage,35000,Medical,10.65,602
25,male,High School,271000,2,Rent,25000,Venture,11.86,652
25,male,Associate,20000,5,Own,5000,Personal,8.94,572
23,male,Bachelor,21000,0,Own,4375,Venture,9.63,528
25,female,High School,61000,3,Rent,24750,Personal,14.22,638
23,female,High School,73000,2,Rent,24750,Debt Settlement,9.33,655
24,male,Master,102000,3,Rent,24500,Medical,13.85,627
22,male,High School,21000,0,Mortgage,2000,Education,10.65,596
24,female,Bachelor,111000,0,Rent,24500,Medical,11.46,694
23,female,Associate,193000,0,Mortgage,35000,Personal,7.66,684
24,female,Bachelor,193000,0,Mortgage,12000,Venture,16.77,547
25,female,Bachelor,193000,0,Mortgage,12000,Personal,9.63,586
26,female,Bachelor,193000,5,Rent,25000,Personal,12.23,694
25,male,Master,152000,2,Mortgage,10000,Medical,14.09,639
25,female,Bachelor,65000,0,Rent,24250,Personal,13.98,663
23,female,High School,76000,4,Rent,24250,Education,10.62,528
24,male,Bachelor,22000,0,Mortgage,3900,Debt Settlement,11.01,636
25,male,High School,83000,3,Rent,24250,Personal,17.56,603
26,male,High School,68000,3,Rent,24250,Medical,14.96,507
22,male,Master,90000,3,Rent,24250,Debt Settlement,15.65,692
24,female,Associate,80000,2,Rent,24250,Medical,15.7,604
24,female,Bachelor,109000,5,Rent,24250,Venture,12.53,622
26,female,Bachelor,95000,2,Rent,24250,Home Renovate,17.56,643
23,male,High School,121000,0,Rent,24250,Personal,12.87,565
23,male,Master,124000,0,Rent,24250,Personal,15.7,718
25,male,Bachelor,193000,3,Mortgage,9000,Education,11.01,625
25,male,Bachelor,193000,0,Own,15000,Venture,11.14,614
24,female,Bachelor,193000,2,Mortgage,20000,Venture,16,690
23,male,High School,193000,0,Mortgage,25000,Education,15.65,564
26,female,Associate,193000,5,Mortgage,13750,Debt Settlement,11.01,579
21,female,High School,193000,1,Mortgage,15250,Venture,15.31,648
25,male,Master,193000,3,Mortgage,20000,Venture,13.47,531
22,male,Associate,21000,0,Mortgage,4750,Home Renovate,13.85,658
25,female,Bachelor,135000,3,Rent,24250,Personal,11.01,574
21,male,High School,21000,2,Mortgage,6000,Venture,10.39,671
25,male,High School,139000,7,Rent,24250,Home Renovate,11.36,633
23,male,High School,174000,0,Rent,24250,Education,11.83,631
23,male,Associate,346000,0,Rent,24250,Education,12.53,652
22,female,Bachelor,131000,3,Rent,24150,Home Renovate,14.96,683
22,female,Bachelor,53000,0,Rent,24000,Debt Settlement,13.85,693
23,female,Bachelor,57000,2,Rent,24000,Venture,11.58,603
24,female,High School,58000,1,Rent,24000,Venture,16.29,522
26,female,High School,59000,4,Rent,24000,Medical,11.01,664
21,female,Master,55000,0,Rent,24000,Education,16.29,645
25,male,Bachelor,63000,2,Rent,24000,Personal,10.74,592
22,female,Associate,22000,4,Mortgage,2250,Education,15.27,636
24,female,Bachelor,57000,3,Rent,24000,Personal,17.8,672
22,female,Bachelor,22000,0,Mortgage,1000,Venture,11.36,686
22,female,High School,60000,0,Rent,24000,Medical,17.56,590
26,female,Master,73000,2,Rent,24000,Personal,7.9,636
25,female,High School,73000,5,Rent,24000,Personal,10.99,580
22,male,Bachelor,73000,0,Rent,24000,Personal,7.29,674
21,female,Associate,73000,0,Rent,24000,Medical,10.75,601
26,female,High School,75000,4,Rent,24000,Debt Settlement,7.9,620
22,male,Master,76000,0,Rent,24000,Education,14.84,642
26,male,Associate,79000,7,Rent,24000,Debt Settlement,11.01,616
22,female,Associate,22000,0,Mortgage,4975,Education,11.01,588
23,male,High School,72000,1,Rent,24000,Debt Settlement,19.69,585
23,male,Bachelor,80000,1,Rent,24000,Venture,11.01,632
24,male,High School,73000,5,Rent,24000,Venture,14.96,556
25,male,Bachelor,80000,4,Rent,24000,Education,6.99,602
22,male,High School,76000,0,Rent,24000,Personal,16.45,639
24,male,Associate,85000,3,Rent,24000,Education,10.99,603
23,male,Associate,90000,2,Rent,24000,Debt Settlement,10.99,689
22,male,High School,22000,4,Own,3000,Personal,7.9,672
22,female,Master,91000,2,Rent,24000,Education,12.69,499
24,male,Bachelor,91000,1,Rent,24000,Medical,10.37,643
24,male,Bachelor,91000,2,Rent,24000,Home Renovate,11.01,589
26,male,Master,84000,2,Rent,24000,Debt Settlement,15.83,646
23,male,Associate,95000,1,Rent,24000,Personal,13.92,613
22,female,High School,23000,0,Own,2000,Venture,11.49,567
24,female,Bachelor,97000,4,Rent,24000,Medical,10.25,603
22,female,Associate,23000,3,Own,3500,Home Renovate,7.49,647
23,female,Master,23000,1,Own,4000,Education,5.99,645
23,female,Bachelor,91000,0,Rent,24000,Personal,12.92,672
26,female,Master,108000,6,Rent,24000,Personal,11.58,648
25,male,High School,115000,4,Rent,24000,Education,8.9,653
22,male,Bachelor,100000,0,Rent,24000,Debt Settlement,19.69,590
25,female,Master,115000,2,Rent,24000,Venture,6.54,704
21,female,Master,23000,0,Own,4900,Home Renovate,14.54,674
21,female,Bachelor,22000,0,Own,5000,Education,11.11,594
26,female,High School,120000,5,Rent,24000,Personal,12.73,626
